Blank, Blank_space.png, Blank
Door, dungeon_door.png, Door
End_Door, end_door.png, Door
Brick, dungeon_brick.png, Floor
Stone, dungeon_stone.png, Floor
Corner_Inwards, dungeon_corner_inwards.png, Wall
Corner_Outwards, dungeon_corner_outwards.png, Wall
Edge1, dungeon_edge_one.png, Wall
Edge2, dungeon_edge_two.png, Wall
Edge3, dungeon_edge_two_v2.png, Wall
Edge4, dungeon_edge_three.png, Wall
Edge5, dungeon_edge_four.png, Wall
Edge6, dungeon_edge_corner_none.png, Wall
Edge7, dungeon_edge_corner_one.png, Wall
Edge8, dungeon_edge_corner_one_v2.png, Wall
Edge9, dungeon_edge_corner_two.png, Wall
Edge10, dungeon_edge_corner_2.png, Wall
Wall, dungeon_wall.png, Wall
Torch, dungeon_wall_torch.png, Wall